,Observation,Study,Species,Organ,CellType,SampleType,Application,Design,Platform,ExperimentalTitle,DescriptionOfExperiment,Keywords,Outlier
0,GSM752709.cel,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
549,GSM753345.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
550,GSM753346.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
551,GSM753347.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
552,GSM753348.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
553,GSM753349.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
554,GSM753350.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
555,GSM753351.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
556,GSM753352.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
557,GSM753353.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
558,GSM753354.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
559,GSM753355.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
560,GSM753356.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
561,GSM753357.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
562,GSM753358.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
563,GSM753359.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
564,GSM753360.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
565,GSM753361.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
566,GSM753362.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
567,GSM753363.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
568,GSM753364.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
569,GSM753365.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
570,GSM753366.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | Untreated,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
571,GSM753367.CEL,E-GEOD-30169,Homo sapiens,Aorta,Aorta endothelial cells,Primary culture,Biological compound,E-GEOD-30169 | Homo sapiens | Aorta | Aorta endothelial cells | Primary culture | Biological compound | OxPAPC,Affymetrix GeneChip HT Human Genome U133A,Expression of human aortic endothelial cells treated with or without oxidized phospholipids,"Oxidized phospoholipids are a pro-inflammatory component of minimally modified lipoproteins that get trapped in the subendothelial space of atherosclerotic plaques of large arteries. To model the response of endothelial cells in a pro-atherosclerotic enviroment we measured the expression in primary endothelial cells with and without treatment with oxidized phsopolipids from 96 genetically identical donors of anonymous origin. These samples are an extention of samples of similar origin deposited in GSE20060 Primary human aortic endothelial cells were collected from aortic heart explants of heart transplant donors and cultured in standard cell culture condiditions. At confluence, cells were treated with or without  40 ug/ml oxidized 1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphatidylcholine (Ox-PAPC) for 4 hours in media 199 containing 1% fetal bovine serum. After 4 hours, the cells were collected for RNA extraction and quantification of transcripts via microarrays.  Application of electronic probe mask (HT_U133Amsk.cdf) on raw data.",Atherosclerosis | Metabolism,No
